Price,Close,High,Low,Open,Volume,Daily_Return,MA_20
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,
Date,,,,,,,
2023-01-30,1077.218017578125,1082.764407064242,1050.3987961919847,1064.4132886312711,21772103,0.009583559952507814,1131.2260131835938
2023-01-31,1074.5245361328125,1089.9541811505658,1068.6585300710096,1087.3749062182637,22691594,-0.0025004051188896037,1126.1577575683593
2023-02-01,1068.156494140625,1086.43914786492,1052.2246622437708,1086.43914786492,19347800,-0.005926381183538054,1121.201348876953
2023-02-02,1062.244873046875,1071.8540341073915,1054.9637127057106,1058.1591593362568,13662663,-0.005534414784891695,1116.8281127929688
2023-02-03,1063.1805419921875,1072.3104574781503,1046.7466458186898,1072.3104574781503,24699575,0.0008808411027003693,1112.6043762207032
2023-02-06,1055.1690673828125,1059.528634971871,1052.5899131464937,1056.7896118119152,14837879,-0.007535384906841025,1107.458514404297
2023-02-07,1052.6356201171875,1062.4502927137798,1046.7467924098464,1055.4202857843334,15135435,-0.002400987049316017,1100.8187744140625
2023-02-08,1073.6572265625,1077.2863960062462,1053.137736379797,1055.8766387784026,21160332,0.01997044945426807,1096.106591796875
2023-02-09,1075.5289306640625,1082.2850839057578,1065.4632246870067,1074.3421090421186,13172763,0.0017432976328535243,1092.2240905761719
2023-02-10,1066.6728515625,1075.0039060071294,1059.6655455942528,1075.0039060071294,10790445,-0.008234161675311213,1089.1438842773437
2023-02-13,1060.6014404296875,1072.7670546240697,1056.127767130611,1068.293381324993,10352493,-0.005691914933354525,1085.8514038085937
2023-02-14,1085.5947265625,1087.329376978281,1060.738487756277,1063.6144381671827,14321920,0.023565201007728964,1084.344970703125
2023-02-15,1110.1768798828125,1112.5735854842064,1083.2664969637603,1084.6358877756606,33503591,0.0226439505635323,1083.275616455078
2023-02-16,1109.3095703125,1124.7163944448255,1107.0270912647763,1118.1656324865594,17264487,-0.000781235482407161,1082.2564880371094
2023-02-17,1113.9429931640625,1117.2754874405753,1100.4306882070916,1104.7217922905263,11809520,0.004176852860159785,1081.5295166015626
2023-02-20,1102.16552734375,1118.3026298698114,1100.2025445254703,1116.13425652598,8836937,-0.010572772478113612,1080.8847229003907
2023-02-21,1111.158447265625,1116.9558691842672,1101.22954869757,1106.547846833629,13311592,0.00815931881261811,1080.9714599609374
2023-02-22,1085.959716796875,1109.2866925279875,1084.2022454513722,1107.4379365148654,11024335,-0.02267789128612563,1080.1257934570312
2023-02-23,1080.755615234375,1093.1952035465454,1077.948249542989,1085.5489053785018,9851910,-0.004792168145840492,1079.782275390625
2023-02-24,1088.1510009765625,1093.8344379808216,1080.9840672539892,1082.8100022510873,9434053,0.006842791874445808,1080.8402038574218
2023-02-27,1080.91552734375,1090.8672478016565,1073.543202799622,1087.3750050988056,11199715,-0.006649328655966902,1081.025079345703
2023-02-28,1060.2362060546875,1080.5274845520237,1056.1734344203933,1075.5516247048565,21994038,-0.01913130190652368,1080.3106628417968
2023-03-01,1069.982421875,1070.712820002187,1060.5557097259696,1070.0280642112666,11551145,0.009192494808849982,1080.4019592285156
2023-03-02,1061.833984375,1073.5203549354069,1059.802538079039,1066.8326656493814,9333535,-0.007615487257931708,1080.381414794922
2023-03-03,1088.927001953125,1092.6018137297042,1068.909698230002,1072.3789987479975,14643807,0.025515304630292057,1081.6687377929688
2023-03-06,1099.5633544921875,1106.8216933590497,1095.5918675399987,1095.5918675399987,10171916,0.009767736974090058,1083.8884521484374
2023-03-08,1103.5120849609375,1104.265304210858,1088.7443751303776,1099.5632986303585,15782657,0.0035911804923451918,1086.432275390625
2023-03-09,1076.98974609375,1103.3067824873158,1075.0953474005576,1102.8960014079455,16235128,-0.024034479756627536,1086.5989013671874
2023-03-10,1060.3046875,1070.0280749321848,1056.8124450060086,1068.8868957671646,13334091,-0.015492309610436683,1085.8376892089843
2023-03-13,1042.8665771484375,1070.0281154160118,1038.5298305140532,1063.1806779260546,12771592,-0.016446320154142047,1084.6473754882813
2023-03-14,1038.9635009765625,1052.2018311560978,1035.8136967949142,1040.812257084253,16027522,-0.0037426419231378905,1083.565478515625
2023-03-15,1021.2056884765625,1049.1660857467195,1016.8004787547293,1042.6839083296516,21728555,-0.01709185402885538,1080.3460266113282
2023-03-16,1016.1157836914062,1028.9433330363881,1005.2968594074098,1023.921951504309,18363159,-0.004984211156079055,1075.6429718017578
2023-03-17,1014.837646484375,1028.0075129528561,1010.0900587449327,1024.720781814394,34014213,-0.0012578657152514383,1070.9193756103516
2023-03-20,1004.8632202148438,1013.4225471579439,995.1626537042278,1011.1400680229121,19524589,-0.009828593079971859,1065.4653869628905
2023-03-21,1036.1102294921875,1038.0732119172073,1012.0528577510236,1012.9430039303461,21400360,0.031095783633779517,1062.1626220703124
2023-03-22,1039.26025390625,1046.0392280531037,1036.2473765076484,1043.0948141638403,10920094,0.003040240627299351,1058.5677124023437
2023-03-23,1026.1131591796875,1036.2016854580306,1023.9447859117854,1035.3343603002547,16249370,-0.01265043541995059,1055.5753845214845
2023-03-24,1005.7989501953125,1027.117362031003,1003.3795441878093,1024.9489888672188,12375945,-0.019797240492086643,1051.8275512695313
2023-03-27,1021.4340209960938,1028.943393312628,1004.383950761555,1012.2813433372775,14054323,0.01554492654595152,1048.4917022705079
2023-03-28,1026.2044677734375,1030.0846702786253,1021.1829653124684,1024.8349561252708,12576424,0.004670342556919671,1045.7561492919922
2023-03-29,1020.133056640625,1024.7436572444662,1009.3597140789179,1022.0959186617868,18804065,-0.005916375657558426,1043.750991821289
2023-03-31,1064.116455078125,1069.7770709600845,1029.2629756900762,1029.3999027039445,28171201,0.0431153545620222,1043.4576934814454
2023-04-03,1064.299072265625,1072.3106311531849,1056.7896998650788,1070.4846960590223,10293043,0.00017161391183129204,1043.5809478759766
2023-04-05,1061.74267578125,1071.8540232011114,1053.8453439607506,1071.8540232011114,16262928,-0.0024019531267025496,1042.221731567383
2023-04-06,1068.8638916015625,1074.592970502133,1058.2275373074351,1058.2275373074351,18435046,0.006707101431213225,1040.6867584228517
2023-04-10,1061.2861328125,1072.9496819536614,1059.779694186431,1072.7671126043012,12961408,-0.0070895451222589,1038.5754608154298
2023-04-11,1066.535888671875,1068.6586196822263,1060.9210357303307,1065.4631729553812,10542367,0.004946597997528501,1038.052767944336
2023-04-12,1071.2379150390625,1080.8927189104256,1063.660079131172,1066.5359087914262,18179087,0.004408690243928648,1038.599429321289
2023-04-13,1075.2777099609375,1079.9795947799273,1069.115028980157,1074.1364101327636,12378208,0.003771146320682428,1040.219985961914
2023-04-17,1080.73291015625,1106.9814803229494,1072.333391852291,1106.9814803229494,17929479,0.005073294224159808,1042.3084564208984
2023-04-18,1068.3619384765625,1085.0925121063174,1061.8111761257844,1085.0925121063174,10405576,-0.011446835349817275,1044.6662689208983
2023-04-19,1073.68017578125,1076.373436165099,1064.6415432193398,1067.7685265934954,12273475,0.004977935953307311,1047.5444885253905
2023-04-20,1070.9637451171875,1076.875393044396,1064.5956738732273,1074.638556551585,7007330,-0.0025300184592548236,1050.3507934570312
2023-04-21,1072.310546875,1077.7884724738815,1066.5586465106753,1073.0637661728558,7647317,0.0012575605513753807,1053.723159790039
2023-04-24,1076.4190673828125,1086.8727319946267,1071.8539885727766,1084.1794719407253,12936186,0.003831465166304504,1055.7386016845703
2023-04-25,1084.6588134765625,1086.7359021827194,1072.995384428631,1080.0710338352167,9236126,0.007654775303993722,1058.008529663086
2023-04-26,1078.290771484375,1089.2467445727555,1074.6159592843226,1086.005534613959,8617834,-0.005871009310085773,1060.6174102783202
2023-04-27,1085.1153564453125,1088.2879820525134,1079.158065119624,1084.1795677314856,9167125,0.006329076665974487,1064.5832305908202
2023-04-28,1104.9500732421875,1106.5022750107378,1087.2608896802224,1087.374995527852,15565210,0.018278901573977047,1068.759033203125
2023-05-02,1114.3310546875,1116.4994278601828,1108.4194062766874,1112.1170391794083,12981805,0.008489959566938987,1073.1653625488282
2023-05-03,1104.7674560546875,1116.1342091904096,1101.549188303151,1116.1342091904096,7061872,-0.00858236750432706,1077.3970825195313
2023-05-04,1117.503662109375,1119.717677582049,1102.2567073883076,1105.2467632974385,8635233,0.011528404448272411,1080.0664428710938
2023-05-05,1114.650634765625,1123.5979821409157,1112.0258380416835,1114.3083172243437,8746585,-0.0025530362364671877,1082.5840209960938
2023-05-08,1128.4139404296875,1133.7777597410543,1115.7461404298203,1118.4165791288924,9153782,0.01234764080761197,1085.9175842285156
2023-05-09,1131.9061279296875,1135.2158009724574,1124.4652198090143,1129.8290394334551,6464721,0.0030947752193404288,1089.0696960449218
2023-05-10,1139.6895751953125,1141.173192717246,1132.659447469911,1136.6766978121202,10872255,0.006876407039037247,1092.9898681640625
2023-05-11,1132.2486572265625,1145.578272899187,1130.536707274967,1140.7622816578707,10557860,-0.006528898860441723,1096.2755065917968
2023-05-12,1134.0972900390625,1135.4896227195354,1121.3838473257679,1127.455243721531,6955341,0.001632709211621508,1099.418475341797
2023-05-15,1136.3341064453125,1143.3184701435996,1128.984483334697,1136.6309023578756,6833343,0.0019723320264461996,1102.4712951660156
2023-05-16,1120.1514892578125,1141.0589403639667,1118.485181669263,1138.5026071786638,8717229,-0.014241073198201004,1104.4422241210937
2023-05-17,1113.5322265625,1125.2641183192468,1108.830341392445,1124.3511508366894,8798967,-0.005909256702143262,1106.7007385253905
2023-05-18,1111.1357421875,1121.6123498838558,1107.9858169299096,1118.21139175125,10525531,-0.002152146402083055,1108.5735168457031
2023-05-19,1114.7418212890625,1116.5678769225615,1104.1967514891073,1111.1355938507186,8050447,0.003245399247497227,1110.7624206542969
2023-05-22,1120.69921875,1125.7207212869755,1110.3596592183865,1111.5693019532657,7434906,0.0053441948145880325,1113.1818542480469
2023-05-23,1120.49365234375,1126.6335119735163,1119.0784985578177,1123.2783175836105,6092034,-0.0001834269202750649,1115.3855834960937
2023-05-24,1113.9658203125,1124.8076864197674,1110.861658447196,1116.545095308795,8112254,-0.005825853647270285,1116.8509338378906
